name,time,nodeid,value
test,1503460980716080896,111,"255,light,74.90,161,temperature,25.62,humidity,47.50,"
test,1503460981193437952,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.94,h,47.99,"
test,1503460981336710912,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.27,h,48.35,"
test,1503460982021123840,111,"255,light,74.49,158,temperature,25.61,humidity,47.53,"
test,1503460982037099008,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.44,t,26.94,h,48.02,"
test,1503460982769309952,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.26,h,48.31,"
test,1503460983342152192,111,"255,light,73.68,158,temperature,25.61,humidity,47.53,"
test,1503460983549280768,111,"255,from,10,44,rssi,-4,msg,id,205,l,50.48,t,26.94,h,48.02,"
test,1503460983931045120,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.31,"
test,1503460984313114880,111,"255,from,10,44,rssi,-2,msg,id,205,l,49.25,t,26.94,h,48.05,"
test,1503460984647383808,111,"255,light,75.31,161,temperature,25.61,humidity,47.53,"
test,1503460985108873984,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.94,h,48.09,"
test,1503460985252135936,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.26,h,48.35,"
test,1503460985968451072,111,"255,light,74.90,158,temperature,25.59,humidity,47.57,"
test,1503460986541490944,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.26,h,48.38,"
test,1503460987273531904,111,"255,light,73.68,158,temperature,25.61,humidity,47.60,"
test,1503460987480523008,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.93,h,48.05,"
test,1503460987846510848,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.27,h,48.31,"
test,1503460988276262912,111,"255,from,10,44,rssi,-1,msg,id,205,l,49.66,t,26.94,h,48.02,"
test,1503460988594542080,111,"255,light,74.90,160,temperature,25.61,humidity,47.60,"
test,1503460989087945984,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.03,t,26.94,h,47.99,"
test,1503460989151640064,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.27,h,48.31,"
test,1503460989899671040,111,"255,light,74.90,158,temperature,25.59,humidity,47.60,"
test,1503460989915574016,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.95,h,47.99,"
test,1503460990456779008,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.27,h,48.35,"
test,1503460990647768064,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.94,h,48.02,"
test,1503460991220601088,111,"255,light,74.09,159,temperature,25.58,humidity,47.60,"
test,1503460991459443968,111,"255,from,10,44,rssi,-4,msg,id,205,l,48.44,t,26.95,h,48.05,"
test,1503460991777810944,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.27,h,48.35,"
test,1503460992223496960,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.95,h,48.05,"
test,1503460992541742080,111,"255,light,74.09,159,temperature,25.58,humidity,47.63,"
test,1503460993019170048,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.95,h,48.02,"
test,1503460993083003136,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.30,h,48.35,"
test,1503460993846956032,111,"255,light,74.49,160,temperature,25.59,humidity,47.63,"
test,1503460993862746112,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.95,h,47.99,"
